date,generated_at,score,state,multiplier,ndx_change,spx_change,qqq_change,qqq_5d_change,qqq_20d_change,vxn,us10y,forward_pe,forward_pe_percentile,ttm_pe,ttm_pe_percentile,cnn_fear_greed,naaim,rsi,ma200_dev,valuation_score,sentiment_score,trend_score,positioning_score,macro_score,data_quality,one_line_summary
2026-08-07,2026-08-08T23:55:23+08:00,41.7,偏热,0.6,1.19,0.62,1.17,5.09,-0.34,22.82,4.66,21.47,37.5,36.25,96.7,63.7,84.02,57.15,11.6,40.3,55.7,41.4,16.0,35.0,complete,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-10,2026-08-11T07:58:38+08:00,42.1,偏热,0.6,-0.34,-0.06,-0.3,2.97,1.28,23.04,4.7,21.47,37.5,36.25,96.7,63.7,84.02,56.18,11.18,40.3,56.8,41.9,16.0,35.0,stale,大盘今日相对更强；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-11,2026-08-12T08:05:43+08:00,41.2,偏热,0.6,-0.33,-0.32,-0.34,-0.75,-0.17,22.38,4.68,21.47,37.5,36.25,96.7,63.7,84.02,55.06,10.71,40.3,53.0,42.5,16.0,35.0,stale,大盘今日相对更强；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-12,2026-08-13T08:05:31+08:00,39.2,偏热,0.6,0.74,0.26,0.73,0.89,0.83,20.97,4.68,21.47,37.5,36.25,96.7,63.7,84.02,57.06,11.42,40.3,45.8,41.5,16.0,35.0,stale,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-13,2026-08-14T08:06:03+08:00,39.2,偏热,0.6,1.15,0.65,1.16,2.44,3.7,21.23,4.64,21.47,37.5,36.25,96.7,63.7,84.02,60.12,12.61,40.3,47.0,39.9,16.0,35.0,stale,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-14,2026-08-15T16:36:46+08:00,39.3,偏热,0.6,-0.13,-0.17,-0.14,1.11,5.14,20.72,4.7,20.5,37.5,30.9,96.7,64.9714285714286,77.34,59.57,12.37,40.3,44.6,40.2,22.7,35.0,complete,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-17,2026-08-18T07:44:14+08:00,40.8,偏热,0.6,-0.17,-0.52,-0.16,1.25,4.86,21.51,4.72,20.5,37.5,30.9,96.7,59.9714285714286,77.34,58.88,12.1,40.3,50.2,40.6,22.7,35.0,complete,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-18,2026-08-19T07:44:09+08:00,43.3,偏热,0.6,-1.68,-0.69,-1.69,-0.13,1.2,22.56,4.71,20.1,37.5,30.8,96.7,54.4,77.34,52.18,10.13,40.3,57.7,43.9,22.7,35.0,complete,大盘今日相对更强；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-19,2026-08-20T07:44:42+08:00,44.7,偏热,0.6,-0.22,0.21,-0.2,-1.05,1.52,22.04,4.65,20.1,37.5,30.8,96.7,56.3428571428571,77.34,51.45,9.83,40.3,54.7,54.3,22.7,35.0,incomplete,大盘今日相对更强；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-20,2026-08-21T07:48:12+08:00,46.3,偏热,0.6,-0.72,-0.87,-0.72,-2.89,2.74,23.26,4.7,20.1,37.5,30.8,96.7,52.4857142857143,82.02,48.8,8.98,40.3,62.2,55.6,18.0,35.0,incomplete,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-21,2026-08-22T07:45:47+08:00,44.2,偏热,0.6,0.33,0.43,0.35,-2.41,4.27,21.98,4.74,20.1,37.5,30.8,96.7,55.1714285714286,82.02,50.15,9.29,40.3,54.4,54.9,18.0,35.0,incomplete,大盘今日相对更强；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-24,2026-08-25T07:43:47+08:00,45.6,偏热,0.6,-0.97,-0.28,-1.0,-3.23,3.55,22.69,4.7,20.1,37.5,30.8,96.7,55.0285714285714,82.02,46.42,8.13,40.3,58.4,56.8,18.0,35.0,incomplete,大盘今日相对更强；市场处于偏热区间，模型参考定投倍率为 0.6x。
2026-08-25,2026-08-26T07:46:52+08:00,43.7,偏热,0.6,0.64,0.32,0.62,-0.95,5.22,21.79,4.64,20.1,37.5,30.8,96.7,58.8,82.02,48.95,8.73,40.3,51.9,55.5,18.0,35.0,incomplete,科技股今日跑赢大盘；市场处于偏热区间，模型参考定投倍率为 0.6x。
